name,telecode,latitude,longitude,centrality_score,province,city,railway_bureau,station_type
滴道,,45.343705,130.826121,50,黑龙江,鸡西,哈尔滨铁路局,客运站
漠河,,52.988379,122.504609,60,黑龙江,大兴安岭地区,哈尔滨铁路局,客运站
漯河,,33.572329,114.036578,60,河南,漯河,武汉铁路局,客运站
漯河西,,33.574608,113.957537,55,河南,漯河,武汉铁路局,客运站
漳州,,24.460015,117.711063,65,福建,漳州,南昌铁路局,客运站
漳州东,,24.56733,117.739798,50,福建,漳州,南昌铁路局,客运站
漳平,,25.309206,117.41416,50,福建,龙岩,南昌铁路局,客运站
漳浦,,24.09889,117.558136,50,福建,漳州,南昌铁路局,客运站
潍坊,,36.697027,119.092428,60,山东,潍坊,济南铁路局,客运站
潜江,,30.39231,112.933528,50,湖北,潜江,武汉铁路局,客运站
潞城,,36.320893,113.215604,60,山西,长治,北京铁路局,客运站
潢川,,32.113908,115.096635,50,河南,信阳,武汉铁路局,客运站
潮州,,23.641098,116.579882,50,广东,潮州,广铁集团,客运站
潮汕,,23.539379,116.583575,100,广东,潮州,广铁集团,客运站
潮阳,,23.383736,116.417305,50,广东,汕头,广铁集团,客运站
潼关,,34.537229,110.242685,55,陕西,渭南,西安铁路局,客运站
潼南,,30.222321,105.874073,60,重庆,潼南县,成都铁路局,客运站
澧县,,29.822118,111.599038,55,湖南,常德,广铁集团,客运站
濑湍,,22.44806,107.497662,50,广西壮族自治区,崇左,南宁铁路局,客运站
灌水,,40.860405,124.560273,50,辽宁,丹东,沈阳铁路局,客运站
火连寨,,41.356471,123.728509,50,辽宁,本溪,沈阳铁路局,客运站
灯塔,,41.428028,123.311907,50,辽宁,辽阳,沈阳铁路局,客运站
灵丘,,39.460786,114.216233,55,山西,大同,太原铁路局,客运站
灵宝,,34.512107,110.89254,50,河南,三门峡,郑州铁路局,客运站
灵宝西,,34.579661,110.68375,60,河南,三门峡,郑州铁路局,客运站
灵武,,38.157323,106.362861,50,宁夏回族自治区,银川,兰州铁路局,客运站
灵璧,,33.600204,117.535978,50,安徽,宿州,上海铁路局,客运站
灵石东,,36.879696,111.908195,50,山西,晋中,太原铁路局,客运站
炉桥,,32.557514,117.219988,50,安徽,滁州,上海铁路局,客运站
炎陵,,26.503385,113.778385,50,湖南,株洲,南昌铁路局,客运站
烟台,,37.547565,121.377593,100,山东,烟台,济南铁路局,客运站
烟筒屯,,47.001207,124.161208,50,黑龙江,大庆,哈尔滨铁路局,客运站
烟筒山,,43.284007,126.024744,50,吉林,吉林,沈阳铁路局,客运站
热水,,43.475477,117.689695,50,内蒙古自治区,赤峰,沈阳铁路局,客运站
焉耆,,42.074745,86.544356,50,新疆维吾尔自治区,巴音郭楞蒙古自治州,乌鲁木齐铁路局,客运站
焦作,,35.223366,113.228564,100,河南,焦作,郑州铁路局,客运站
